idweb,objet,descripteur_libelle,cpv_clean,cpv_div2,category_id_rule,category_label_rule,category_id_final,notes
16-125901,Rénovation et sécurisation des accès de la CPAM de la Loire-Atlantique,Contrôle d'accès|Surveillance,,,CAT04,Telecom & Networks,,
24-68390,Modernisation du système priorité bus par détection radio GPS - groupement de commandes,Contrôle d'accès,42961100.0,42.0,CAT_UNKNOWN,Unknown,,
24-133497,"Fourniture de signalisation de police, de direction, temporaire, plastique ainsi que la fourniture de petits outillages associés",Signalisation,35260000.0,35.0,CAT03,Cybersecurity,,
22-122102,"Acquisition, installation, formation et maintenance d'équipements de réseaux et d'un système de téléphonie sur IP",Informatique (matériel)|Informatique (prestations de services)|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),32420000.0,32.0,CAT06,IT Hardware & Equipment,,
19-124424,"FOURNITURE, INSTALLATION, L'ACCOMPAGNEMENT, MISE EN OEUVRE ET MAINTENANCE D'UNE SOLUTION DE GESTION DES RECRUTEMENTS POUR LE GHT VENDEE",Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
22-128177,Mise à disposition d'une solution de digital asset management et prestations associées,Prestations de services,72500000.0,72.0,CAT02,IT Services & Consulting,,
20-1280,Fourniture d'équipements audiovisuels et visioconférence,Audiovisuel,32321300.0,32.0,CAT04,Telecom & Networks,,
19-151799,Travaux de sécurisation des cours de promenade à la Maison d'Arrêt de Laval,Bâtiment,45000000.0,45.0,CAT_UNKNOWN,Unknown,,
23-132830,acquisition d'un logiciel de gestion des dossiers d'autorisation d'urbanisme et du foncier,Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
18-103911,"accord-cadre - evaluation préalable, fourniture, pose, prestations de services associées et maintenance de l'ensemble des matériels nécessaires à la vidéoprotection des bâtiments publics métropolitain",Télésurveillance,32323500.0,32.0,CAT04,Telecom & Networks,,
18-146639,Acquisition de matériels divers pour la Setram,Equipements spécialisés|Informatique (matériel)|Logiciel|Matériel électrique|Onduleur,39300000.0,39.0,CAT_UNKNOWN,Unknown,,
24-109552,Assistance numérique pour les collèges publics de Loire-Atlantique,Informatique (assistance)|Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
24-13163,Assistance numérique pour les collèges publics de Loire-Atlantique,Informatique (prestations de services)|Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
15-45725,abonnement à une base de données avec acquisition de licences d'accès simultanés et fourniture de notices bibliographiques pour la médiathèque Louis Aragon au Mans,Informatique (prestations de services),72320000.0,72.0,CAT09,GIS & Mapping,,
16-131906,Maintien en condition opérationnelle de solution intégrée d'infrastructure gestion clés et solution gestion cartes à puce des systèmes Messagerie sécurisée et Gestion des certificats sur cartes à puce,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
19-155905,construction de la nouvelle scène de musiques actuelles de la roche-sur-yon agglomération,"Ascenseur|Bâtiment|Charpente|Chauffage (travaux)|Cloison, faux plafond|Couverture|Electricité (travaux)|Espaces verts|Gros oeuvre|Matériel scénique|Menuiserie|Oeuvre d'art|Peinture (travaux)|Plomberie (travaux)|Revêtements de sols|Serrurerie|Terrassement|Ventilation",45212000.0,45.0,CAT_UNKNOWN,Unknown,,
15-89263,Divers secteurs - relevés altimétriques et géométriques des ouvrages de distribution d'eau potable pour le compte de la Vendée Eau à La Roche-sur-Yon,Alimentation en eau potable|Prestations de services,72322000.0,72.0,CAT08,Data & AI,,
20-68370,Campagne de mesure de la tension électrique chez l'utilisateur réseau,Electrification rurale|Matériel électrique|Prestations de services,72316000.0,72.0,CAT08,Data & AI,,
18-5823,infogérance du système d'information de l'arafer,Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),72611000.0,72.0,CAT10,IT Maintenance & Support,,
20-120399,"Collecte, transport et traitement des déchets chimiques",Déchets non ménagers (prestations),90520000.0,90.0,CAT_UNKNOWN,Unknown,,
20-81858,Location maintenance du système d'impression connecté avec une solution de gestion associée,Matériel d'imprimerie,30121100.0,30.0,CAT06,IT Hardware & Equipment,,
23-7514,"Maintenance, fournitures et prestations associées aux outils Business Objects et Etl-Talend",Informatique (prestations de services)|Logiciel|Informatique (assistance),72267100.0,72.0,CAT02,IT Services & Consulting,,
19-43730,"Prestations de maintenance, fourniture et prestations associées pour les matériels de stockage principal",Informatique (matériel)|Informatique (maintenance serveurs et réseaux),48822000.0,48.0,CAT01,Software & Applications,,
23-73840,"Mission de conseil et d'accompagnement en communication - Conception et réalisation d'outils de communication digitaux, de supports d'édition et d'actions de communication","Publicité, Communication",72000000.0,72.0,CAT02,IT Services & Consulting,,
18-35804,Marché de fourniture de postes de travail informatique,Informatique (matériel),30214000.0,30.0,CAT06,IT Hardware & Equipment,,
19-177220,construction d'un complexe culturel salles de cinéma - salle de spectacles à l'aigle,Ascenseur|Audiovisuel|Bâtiment|Charpente|Couverture|Electricité (travaux)|Equipements spécialisés|Etanchéité|Fondations spéciales|Gros oeuvre|Matériel photographique et cinématographique|Matériel scénique|Menuiserie|Peinture (travaux)|Plâtrerie|Plomberie (travaux)|Revêtements de sols|Serrurerie,45000000.0,45.0,CAT_UNKNOWN,Unknown,,
23-68037,Accord cadre à marchés subséquents - fourniture de matériel informatique et téléphonique,Informatique (matériel)|Télécommunications,30200000.0,30.0,CAT06,IT Hardware & Equipment,,
15-83578,fourniture et entretien des équipements de radio-téléphone TETRA au Mans,Matériel de transmission,32236000.0,32.0,CAT04,Telecom & Networks,,
17-14754,Prestations d'assistance technique et conduite de projets techniques pour la mise en oeuvre du schéma directeur du système d'information,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
23-131368,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructure - Lots 03 et 11",Logiciel|Informatique (maintenance serveurs et réseaux),72267100.0,72.0,CAT02,IT Services & Consulting,,
17-115598,Maison natale G. Clemenceau - Production multimédia,Audiovisuel|Prestations de services,92110000.0,92.0,CAT08,Data & AI,,
21-170226,"équipement en matériels informatiques, techniques pour la Setram",Informatique (matériel)|Matériel de manutention|Matériel de téléphonie|Véhicules (acquisition),39300000.0,39.0,CAT_UNKNOWN,Unknown,,
24-36643,Plateforme Matérielle et logicielle pour la virtualisation de serveurs en immersion,Informatique (prestations de services),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
19-82021,Construction neuve d'un datacenter sur le site du campus Belle Beille de l'Université d?Angers,Climatisation|Electricité (travaux)|Gros oeuvre|Menuiserie|Voirie et réseaux divers,45000000.0,45.0,CAT05,Cloud & Infrastructure,,
19-88976,Sécurisation de cinq déchèteries de la Carene,Maintenance,35121000.0,35.0,CAT03,Cybersecurity,,
15-161519,Fourniture et déploiement d'un logiciel de planification et de gestion des activités liées au temps de travail du personnel du sdis de la vendée à La Roche-sur-Yon,Informatique (prestations de services)|Logiciel,48450000.0,48.0,CAT01,Software & Applications,,
19-131092,Fourniture de pièces détachées pour réaliser la maintenance en régie des appareils de protection respiratoire de marque MSA,Pièces détachées,35111100.0,35.0,CAT03,Cybersecurity,,
16-168733,INFRASTRUCTURES ET TELECOMMUNICATIONS DES VILLAGES ET ESPACES ORGANISATION DU VENDEE GLOE,Ouvrage d'infrastructure|Télécommunications,79952000.0,79.0,CAT05,Cloud & Infrastructure,,
22-121558,"FOURNITURE, INSTALLATION, MAINTENANCE ET PRESTATIONS DE SERVICES ASSOCIES POUR LA MISE EN PLACE D'UNE SOLUTION DE DOSSIER DE L'USAGER INFORMATISE POUR LE GCSMS MAY'AGE 53",Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
17-71852,balisage et aménagement de véhicules de type renault master fourgon en véhicules tous usages,Prestations de services,35121000.0,35.0,CAT03,Cybersecurity,,
21-36974,Hébergement des plateformes internet des Pays de la Loire et des solutions applicatives,Informatique (prestations de services),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
23-167186,"prestations pour la concertation, la communication, l'organisation d'événements et le conseil en stratégie pour le renouvellement urbain des quartiers de belle-beille et monplaisir (npnru)","Etude|Prestations de services|Publicité, Communication|Assistance à maîtrise d'ouvrage|Evénementiel",79310000.0,79.0,CAT_UNKNOWN,Unknown,,
18-127938,Reconstruction du centre départemental enfance familles (CDEF) à SAINT SEBASTIEN SUR LOIRE,Bâtiment,45215210.0,45.0,CAT_UNKNOWN,Unknown,,
15-90148,acquisition de matériels informatiques à Concarneau,Informatique (matériel)|Logiciel|Matériel de bureau,30200000.0,30.0,CAT06,IT Hardware & Equipment,,
16-129976,"mise en oeuvre d'une solution logicielle de gestion du processus achat incluant la dimension marchés publics, maintenance et prestations associées.",Informatique (prestations de services)|Logiciel,48490000.0,48.0,CAT01,Software & Applications,,
21-153244,21-026,Informatique (matériel)|Logiciel,30200000.0,30.0,CAT06,IT Hardware & Equipment,,
16-142317,acquisition de materiels informatiques et logiciels,Informatique (matériel)|Logiciel,30230000.0,30.0,CAT06,IT Hardware & Equipment,,
24-27595,Ingénierie et visualisation data,Assistance technique,72611000.0,72.0,CAT10,IT Maintenance & Support,,
19-116545,MISE A DISPOSITION D'UNE SOLUTION LOGICIELLE INFORMATIQUE DE GESTION BUDGETAIRE ET COMPTABLE ET SERVICES ASSOCIES,Logiciel,72220000.0,72.0,CAT02,IT Services & Consulting,,
20-114714,Assistance à l'adaptation du logiciel de gestion des ressources humaines HR ACCESS,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
22-120139,INFOGERANCE MEAE 2023,Informatique (prestations de services),72250000.0,72.0,CAT03,Cybersecurity,,
24-5196,"Fourniture et prestations associées d'équipements réseaux et d'une infrastructure Wi-Fi, maintenance de l'existant",Informatique (maintenance serveurs et réseaux)|Informatique (matériel),32420000.0,32.0,CAT06,IT Hardware & Equipment,,
18-90423,A completer,Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
21-44241,renouvellement du système d'aide à l'exploitation et à l'information des voyageurs (saeiv) pour réseau bus et tramway et du système radio associé,Informatique (prestations de services)|Transport,48627000.0,48.0,CAT01,Software & Applications,,
24-138492,Fourniture de matériels et licences informatiques,Informatique (matériel),30200000.0,30.0,CAT06,IT Hardware & Equipment,,
21-99965,"FOURNITURE, POSE ET MISE EN SERVICE ET MAINTENANCE D'ECRANS DE DIFFUSION ET DE VISIOCONFERENCE",Informatique (matériel)|Matériel électronique,32323000.0,32.0,CAT04,Telecom & Networks,,
20-74969,Prestation de télérelève de compteurs fluides et de capteurs - Année 2020 pour une durée de 4 ans,Prestations de services,72322000.0,72.0,CAT08,Data & AI,,
15-147210,"gestion des communautés web, à Nantes",Informatique (prestations de services)|Internet,72315200.0,72.0,CAT03,Cybersecurity,,
16-153795,accord-cadre pour la fourniture et la mise en oeuvre d'un dispositif de vidéo protection de la voie publique de la ville de saint-nazaire,Maintenance|Télésurveillance,32323500.0,32.0,CAT04,Telecom & Networks,,
17-93930,Assistance technique développement,Assistance technique|Informatique (prestations de services),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
19-17531,"MARCHE 19_01 : FOURNITURE, INSTALLATION ET SERVICE APRES-VENTE DE MATERIELS AUDIOVISUELS",Audiovisuel,32321300.0,32.0,CAT04,Telecom & Networks,,
19-90615,Maintenance exploitation et évolution des systèmes de téléphonie interne,Informatique (maintenance serveurs et réseaux),50334000.0,50.0,CAT04,Telecom & Networks,,
24-53601,Déploiement d'objets connectés à un superviseur pour l'optimisation des consommations d'énergie,Electricité (travaux)|Automatisation|Câblage,45311000.0,45.0,CAT_UNKNOWN,Unknown,,
22-57534,Prestations de service pour l'entretien des réseaux et ouvrages annexes des bâtiments communaux de la ville de Saint-Herblain,Réseaux divers,32400000.0,32.0,CAT04,Telecom & Networks,,
19-153412,Mission d'assistance technique pour l'aménagement numérique de la Vendée,Assistance technique|Etude|Télécommunications|Assistance à maîtrise d'ouvrage|Ingénierie,71330000.0,71.0,CAT_UNKNOWN,Unknown,,
20-80292,Déploiement d'un système radio à la D.I.R. Ouest,Télécommunications,32344250.0,32.0,CAT04,Telecom & Networks,,
23-43183,Prestations de services externalisation de la hotline informatique,Informatique (prestations de services)|Informatique (assistance),79512000.0,79.0,CAT10,IT Maintenance & Support,,
18-546,"FOURNITURE DE LICENCES DE PRODUITS AUTODESK, SUPPORT TECHNIQUE ET PRESTATIONS D'ACCOMPAGNEMENT ET DE FORMATION ASSOCIEES",Logiciel,48321000.0,48.0,CAT01,Software & Applications,,
16-78440,fourniture de mobilier et d'équipements divers pour l'aménagement de l'hôtel des..,Cuisine (équipement)|Informatique (matériel)|Mobilier|Sonorisation|Signalétique,39150000.0,39.0,CAT08,Data & AI,,
19-142563,Services de télécommunications du Département de la Sarthe,Informatique (prestations de services),64200000.0,64.0,CAT07,Digital Workplace & Collaboration,,
22-99915,TRAVAUX D'ENTRETIEN ET DE MAINTENANCE DES BATIMENTS ET DES INFRASTRUCTURES DES ETABLISSEMENTS DU GHT 49,Bâtiment|Chauffage (travaux)|Couverture|Electricité (travaux)|Gaz médicaux|Gros oeuvre|Réseaux divers|Tous corps d'état,45400000.0,45.0,CAT05,Cloud & Infrastructure,,
15-114816,Divers secteurs - relevés altimétriques et géométriques des ouvrages de distribution d'eau potable pour le compte de la Vendée Eau à La Roche-sur-Yon,Alimentation en eau potable|Prestations de services,72322000.0,72.0,CAT08,Data & AI,,
22-7823,Accord-cadre relatif à l'évolution et la maintenance des infrastructures IT et à la mise en oeuvre d'une infrastructure d'Intercom pour la Cité des Congrès de Nantes,Audiovisuel|Câblage|Fibre optique|Informatique (prestations de services)|Matériel de téléphonie|Informatique (maintenance serveurs et réseaux),32424000.0,32.0,CAT04,Telecom & Networks,,
21-137082,Evolution des systèmes d'information et renouvellement des équipements pédagogiques numériques pour les BTS services informatiques aux organisations des lycées publics de la Région,Informatique (matériel),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
19-108442,Mise à disposition d'une solution en ligne de digital asset management et prestations associées,Prestations de services,72500000.0,72.0,CAT02,IT Services & Consulting,,
24-62964,Accord-cadre relatif à l'évolution et la maintenance des infrastructures réseaux audiovisuelles de La Cité des Congrès de Nantes,Informatique (maintenance serveurs et réseaux)|Audiovisuel|Maintenance,32424000.0,32.0,CAT04,Telecom & Networks,,
18-154990,"acquisition, mise en oeuvre et maintenance d'une ged pour les dossiers individuels",Logiciel|Maintenance,48613000.0,48.0,CAT01,Software & Applications,,
15-64904,fourniture et déploiement d'un logiciel de planification et de gestion des activités liées au temps de travail du personnel du SDIS de la Vendée à La Roche Sur Yon,Informatique (prestations de services)|Logiciel,48450000.0,48.0,CAT01,Software & Applications,,
21-151331,Développement d'un outil de gestion à destination du concours Polytech.,Informatique (prestations de services),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
16-92162,télésurveillance et gardiennage des bâtiments communaux et intercommunaux pour les besoins de la Ville de La Roche-sur-Yon,Surveillance|Télésurveillance,35125000.0,35.0,CAT03,Cybersecurity,,
24-140255,"Acquisition et maintenance de matériels (serveurs, accessoires, matériels périphériques), logiciels systèmes et prestations associées",Logiciel,48822000.0,48.0,CAT01,Software & Applications,,
23-130445,"Acquisition, installation, calage et maintenance de matériel de projection - Mapping et supports techniques dans le cadre de la Nuit des Chimères pour une durée de 4 ans",Audiovisuel|Informatique (matériel)|Maintenance,48820000.0,48.0,CAT01,Software & Applications,,
19-175237,Construction d'un Pôle Culturel,Bâtiment,45212300.0,45.0,CAT_UNKNOWN,Unknown,,
18-52868,Assistance pour le développement spécifique applicatif,Informatique (prestations de services)|Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
19-22323,REFONTE DES SITES INSTITUTIONNELS ET INTERNE DE LA REGION DES PAYS DE LA LOIRE,Site internet,72420000.0,72.0,CAT02,IT Services & Consulting,,
23-165727,"l'acquisition d'un équipement 'Phénomobile verger' pour mesurer l'intensité de la floraison et la santé des arbres et l'architecture, le nombre, la taille, la couleur et",Laboratoire (matériel)|Matériel électrique,38424000.0,38.0,CAT08,Data & AI,,
16-55493,"remplacement des logiciels de facturation et de gestion administrative, pour personnes agees dependantes du CCAS d'Angers",Logiciel,48180000.0,48.0,CAT01,Software & Applications,,
20-6008,"PRESTATIONS DE MAINTENANCE PREVENTIVE, CORRECTIVE ET FOURNITURE DE PIECES DETACHEES POUR LES EXTINCTEURS, ARI, RIA, COLONNES SECHES ET POTEAUX INCENDIE DES ETABLISSEMENTS DU GHT 49",Matériel de secours et d'incendie,50413200.0,50.0,CAT08,Data & AI,,
23-126802,"Prestations de maintenance préventive, corrective et fourniture de pièces détachées pour les extincteurs, RIA, colonnes sèches et poteaux incendie des établissements du GHT 49",Extincteur,50413200.0,50.0,CAT08,Data & AI,,
20-23861,"Fourniture, installation et maintenance d'un système de vidéo détection et de localisation des feux d'espaces naturels",Télésurveillance,35120000.0,35.0,CAT03,Cybersecurity,,
23-75513,La présente consultation vise à la passation d'un marché ayant pour objet la mise en place d'une ' Infogérance de l'Environnement de Travail Utilisateur '.,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
24-26114,Marché négocié n° 230395 sans mise en concurrence sur le maintien en service et la maintenance du logiciel WEBDETTE et des outils automatisé WINGET et WEBPREV HOPITAUX.,Informatique (prestations de services),72267000.0,72.0,CAT02,IT Services & Consulting,,
20-892,marché de fourniture de mobilier pour l'aménagement du centre technique municipal et intercommunal,Mobilier,,,CAT08,Data & AI,,
20-43556,Acquisition et maintenance de matériels audio-vidéo et d'éclairage,Audiovisuel|Interphone|Matériel photographique et cinématographique,32321200.0,32.0,CAT04,Telecom & Networks,,
22-96691,Fourniture et prestations de refonte et de maintenance des infrastructures du système informatique de la Ville de Bouguenais.,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
20-87480,PRESTATIONS DE COMMUNICATION POUR L'EPF DE LA VENDEE,"Site internet|Publicité, Communication",79822500.0,79.0,CAT_UNKNOWN,Unknown,,
21-26465,"PRESTATIONS D'ASSISTANCE TECHNIQUE POUR LA CONCEPTION, LA MISE EN OEUVRE ET le MAINTIEN AUX CONDITIONS OPÉRATIONNELLES DES APPLICATIONS DU SI DU GHT44 (2 LOTS)",Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
20-70832,Masque & Cartes Vitale,"Carte magnétique, carte à puce",30163000.0,30.0,CAT06,IT Hardware & Equipment,,
17-115640,A completer,Informatique (prestations de services),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
22-121609,Création de contenus de formation digitale,Formation,72000000.0,72.0,CAT02,IT Services & Consulting,,
20-42663,Conception et mise en oeuvre d'agents conversationnels (chatbot),Informatique (prestations de services),72212221.0,72.0,CAT07,Digital Workplace & Collaboration,,
18-46804,Fourniture d'un logiciel de gestion de dette et prestation de conseils et d'assistance à la gestion active de la dette et de la trésorerie,Prestations de services,66151000.0,66.0,CAT01,Software & Applications,,
18-35039,"Prestations d'assistance, conseil et expertise, et accompagnement au changement",Prestations de services,79400000.0,79.0,CAT_UNKNOWN,Unknown,,
22-117459,enrichissement de la base de données livrjeun,Livres,72320000.0,72.0,CAT09,GIS & Mapping,,
16-154804,"redevance, tierce maintenance applicative, maintenance GED alfresco pour Nantes Métropole Habitat",Informatique (prestations de services),48000000.0,48.0,CAT01,Software & Applications,,
24-139412,"Marché de fourniture et de maintenance de matériel réseau informatique pour les CCI Région Pays de la Loire, Centre Val de Loire et Bretagne",Informatique (maintenance serveurs et réseaux),32420000.0,32.0,CAT06,IT Hardware & Equipment,,
21-106226,"FOURNITURE, MISE EN OEUVRE ET MAINTENANCE D'UN SYSTEME DE VIDEO-PROTECTION URBAINE POUR LA COMMUNE DE BOUGUENAIS",Surveillance,35120000.0,35.0,CAT03,Cybersecurity,,
24-107102,Location et achats ponctuels de matériels pour les festivités et divers évènements et réalisation de prestations associées,Location (matériels),39154000.0,39.0,CAT03,Cybersecurity,,
18-177187,Mise à disposition d'une solution en ligne de gestion de marchés publics et prestations associées,Informatique (prestations de services),72500000.0,72.0,CAT02,IT Services & Consulting,,
15-93928,"acquisition, livraison et installation de mobiliers et de matériels pour l'établissement d'hébergement pour personnes agées dépendantes à Cholet",Electroménager|Equipements spécialisés|Literie|Mobilier,39143000.0,39.0,CAT05,Cloud & Infrastructure,,
22-113375,Connexion Lignes 1 & 2 Phase 2 CETEX Babinière -CFA PCC - MTIC12,Logiciel,72212100.0,72.0,CAT07,Digital Workplace & Collaboration,,
23-37438,Fourniture et déploiement d'un système de priorité radio aux carrefours à feux pour les bus du territoire de la Carene,Logiciel|Matériel de transmission|Progiciel,35262000.0,35.0,CAT03,Cybersecurity,,
22-161045,Fourniture de vêtements de travail et d'équipements de protection individuelle (EPI),Equipements spécialisés,35113400.0,35.0,CAT03,Cybersecurity,,
24-47720,Acquisition de vêtements de travail et d'équipements de protection individuelle - durée de 4 ans,Chaussures ou articles chaussants|Equipements spécialisés|Habillement|Matériel de sécurité,35113400.0,35.0,CAT03,Cybersecurity,,
16-106250,fournitures pour travaux pour les services techniques de la cpam de la sarthe,Chauffage (matériel)|Matériaux de construction|Matériel électrique|Matériel de sécurité|Métallurgie|Quincaillerie (articles)|Ventilation,44110000.0,44.0,CAT_UNKNOWN,Unknown,,
24-63940,Prestations de support des applicatifs liés à la plate-forme UNCLOUD de Nantes Université.,Informatique (assistance),72261000.0,72.0,CAT02,IT Services & Consulting,,
24-141111,"Fourniture, installation, paramétrage, intégration, déploiement et maintenance d'une solution de gestion de stock et préparation du chariot d'intervention pour les futurs blocs opératoires de l'Ile de",Logiciel,48430000.0,48.0,CAT01,Software & Applications,,
21-98181,Cellule support OPERA et OPALE - MF2,Informatique (prestations de services),72253000.0,72.0,CAT02,IT Services & Consulting,,
18-38747,Accord cadre relatif à la logistique dans le cadre des manifestations évènementielles organisées par la Ville du Mans - un an - renouvelable 3 fois,Location (matériels),75200000.0,75.0,CAT09,GIS & Mapping,,
22-12455,"Fourniture et maintenance des composants logiciels du système d'information décisionnel (Bo, 360 et Talend) pour les besoins du Département de la Sarthe",Informatique (prestations de services),72267100.0,72.0,CAT02,IT Services & Consulting,,
24-114529,La présente consultation concerne les prestations de communication autour de la marque INNTO,"Publicité, Communication|Site internet",79341400.0,79.0,CAT_UNKNOWN,Unknown,,
23-149508,Exploitation et maintenance du système d'information sur l'eau du Marais poitevin,Informatique (prestations de services)|Prestations de services,72212670.0,72.0,CAT07,Digital Workplace & Collaboration,,
16-109003,"Fourniture, installation et maintenance d'un calculateur et de l'environnement associé pour le CCIPL et SUBATECH",Informatique (matériel)|Maintenance,32423000.0,32.0,CAT04,Telecom & Networks,,
22-2207,"DEVELOPPEMENT D'UN OUTIL DE GESTION A DESTINATION DU CONCOURS POLYTECH CONCEPTION, MISE EN SERVICE",Informatique (prestations de services),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
20-114032,"Acquisition d'équipements de sécurité (chaussures, vêtements, EPI)",Matériel de sécurité,35113400.0,35.0,CAT03,Cybersecurity,,
20-118996,"PRESTATIONS D'ASSISTANCE TECHNIQUE POUR LA CONCEPTION, LA MISE EN OEUVRE ET L'EXPLOITATION DES INFRASTRUCTURES DU SI DU GHT44 (2 LOTS)",Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
16-172610,"Acquisition d'un logiciel de gestion des entretiens d'évaluation, prestations de mise en oeuvre associées et maintenance",Informatique (prestations de services)|Logiciel,72212450.0,72.0,CAT07,Digital Workplace & Collaboration,,
22-36572,"équipement en matériels informatiques, techniques pour la Setram",Informatique (matériel)|Matériel de manutention|Matériel de téléphonie|Véhicules (acquisition),39300000.0,39.0,CAT_UNKNOWN,Unknown,,
18-96170,TRAVAUX D'ENTRETIEN ET DE MAINTENANCE DES BATIMENTS ET DES INFRASTRUCTURES DES ETABLISSEMENTS DU GHT 49,Bâtiment|Chauffage (travaux)|Couverture|Electricité (travaux)|Gaz médicaux|Gros oeuvre|Réseaux divers|Tous corps d'état,45400000.0,45.0,CAT05,Cloud & Infrastructure,,
18-25344,Réaménagement muséographique et scénographique de la maison de la réserve et conception d'une signalétique extérieure sur l'espace naturel sensible de Nalliers-Mouzeuil-Saint-Martin,Logiciel|Signalétique|Equipement muséographique,,,CAT09,GIS & Mapping,,
