contract_id,source,buyer_key,buyer_key_type,buyer_name,SIREN,SIRET,segment,cpv_generic,cpv_div2,source_date,start_date,declared_duration_months,duration_imputed_flag,estimated_end_date,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,text_similarity,cpv_score,temporal_score,composite_score,score_margin,candidate_rank,link_method,event_definition,is_censored
BOAMP:15-37182,BOAMP_CURRENT,NAME:mindef dga dt scat,NAME,MINDEF/DGA/DT/SCAT,,,Cybersecurity,False,35.0,2015-03-11,2015-03-11,48.0,False,2019-03-11,0,135.94,135.94,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-42843,BOAMP_CURRENT,NAME:cte cnes ile noirmoutier,NAME,Cté de Cnes de l'Ile de Noirmoutier,,,IT Services & Consulting,True,72.0,2015-03-24,2015-03-24,48.0,False,2019-03-24,0,135.51,135.51,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-44999,BOAMP_CURRENT,NAME:conseil general vendee,NAME,Conseil général de la Vendée,,,Cybersecurity,False,39.0,2015-03-24,2015-03-24,48.0,True,2019-03-24,0,135.51,135.51,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-47591,BOAMP_CURRENT,SIREN:532458809,SIREN_ENRICHED,Ville d'Angers,532458809,,Telecom & Networks,False,32.0,2015-03-27,2015-03-27,36.0,False,2018-03-27,0,135.41,135.41,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-47696,BOAMP_CURRENT,SIREN:110006012,SIREN_ENRICHED,Ministère des Affaires étrangères,110006012,,IT Services & Consulting,False,72.0,2015-03-30,2015-03-30,48.0,False,2019-03-30,0,135.32,135.32,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-31076,BOAMP_CURRENT,SIREN:218501914,SIREN_ENRICHED,Ville de La Roche-sur-Yon,218501914,,Cybersecurity,False,35.0,2015-04-01,2015-04-01,48.0,False,2019-04-01,0,135.25,135.25,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-50314,BOAMP_CURRENT,SIREN:110006012,SIREN_ENRICHED,Ministère des Affaires étrangères,110006012,,IT Services & Consulting,False,72.0,2015-04-02,2015-04-02,48.0,True,2019-04-02,0,135.22,135.22,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-51571,BOAMP_CURRENT,NAME:residences saint alexandre,NAME,RESIDENCES SAINT ALEXANDRE,,,Software & Applications,False,48.0,2015-04-07,2015-04-07,48.0,True,2019-04-07,0,135.05,135.05,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-52664,BOAMP_CURRENT,SIREN:110006012,SIREN_ENRICHED,Ministère des Affaires étrangères,110006012,,IT Services & Consulting,False,72.0,2015-04-08,2015-04-08,48.0,False,2019-04-08,0,135.02,135.02,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-53947,BOAMP_CURRENT,SIREN:214401622,SIREN_ENRICHED,Commune de Saint-Herblain,214401622,,Software & Applications,False,48.0,2015-04-10,2015-04-10,48.0,True,2019-04-10,0,134.95,134.95,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-54892,BOAMP_CURRENT,SIREN:288500010,SIREN_ENRICHED,SDIS 85,288500010,,Telecom & Networks,False,32.0,2015-04-10,2015-04-10,48.0,True,2019-04-10,0,134.95,134.95,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-54272,BOAMP_CURRENT,SIREN:264900390,SIREN_ENRICHED,Centre Hospitalier de Cholet,264900390,,Unknown,False,,2015-04-10,2015-04-10,44.0,False,2018-12-10,0,134.95,134.95,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-54977,BOAMP_CURRENT,NAME:conseil general sarthe,NAME,Conseil Général de la Sarthe,,,Digital Workplace & Collaboration,False,64.0,2015-04-13,2015-04-13,48.0,True,2019-04-13,0,134.86,134.86,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-55213,BOAMP_CURRENT,SIREN:451324974,SIREN_ENRICHED,Ville du Croisic,451324974,,Telecom & Networks,False,32.0,2015-04-13,2015-04-13,12.0,False,2016-04-13,0,134.86,134.86,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-56123,BOAMP_CURRENT,SIREN:247200132,SIREN_ENRICHED,Le Mans Métropole - Communauté Urbaine,247200132,,Unknown,False,45.0,2015-04-14,2015-04-14,48.0,True,2019-04-14,0,134.82,134.82,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-56649,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,IT Services & Consulting,False,72.0,2015-04-14,2015-04-14,12.0,False,2016-04-14,1,5.81,,5.81,BOAMP:15-92588,0.78851,1.0,0.48456,0.80808,0.1920899999999999,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-55527,BOAMP_CURRENT,NAME:cdc pays saint gilles cx vie,NAME,CDC du Pays de Saint Gilles Cx de Vie,,,Software & Applications,True,48.0,2015-04-14,2015-04-14,48.0,True,2019-04-14,0,134.82,134.82,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-56918,BOAMP_CURRENT,SIREN:439446386,SIREN_ENRICHED,VALLET,439446386,,Telecom & Networks,False,32.0,2015-04-15,2015-04-15,12.0,False,2016-04-15,0,134.79,134.79,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-56776,BOAMP_CURRENT,SIREN:532458809,SIREN_ENRICHED,Ville d'Angers,532458809,,Telecom & Networks,False,32.0,2015-04-15,2015-04-15,48.0,True,2019-04-15,0,134.79,134.79,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-58339,BOAMP_CURRENT,NAME:cnieg,NAME,CNIEG,,,IT Services & Consulting,False,72.0,2015-07-22,2015-07-22,48.0,False,2019-07-22,0,131.57,131.57,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-58989,BOAMP_CURRENT,NAME:ccir pays loire,NAME,CCIR Pays de la Loire,,,Software & Applications,False,48.0,2015-04-17,2015-04-17,48.0,True,2019-04-17,0,134.72,134.72,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-59370,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,IT Services & Consulting,False,72.0,2015-04-20,2015-04-20,48.0,False,2019-04-20,0,134.63,134.63,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-59556,BOAMP_CURRENT,NAME:conseil general loire atlantique,NAME,Conseil général de Loire-Atlantique,,,Cybersecurity,False,35.0,2015-08-24,2015-08-24,48.0,False,2019-08-24,0,130.49,130.49,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-64142,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,Software & Applications,False,48.0,2015-04-24,2015-04-24,48.0,True,2019-04-24,0,134.49,134.49,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-50024,BOAMP_CURRENT,SIREN:258500222,SIREN_ENRICHED,Vendée Eau,258500222,,Cybersecurity,False,35.0,2015-06-25,2015-06-25,6.0,False,2015-12-25,0,132.46,132.46,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-63153,BOAMP_CURRENT,SIREN:258500222,SIREN_ENRICHED,Vendée Eau,258500222,,Unknown,False,45.0,2015-04-27,2015-04-27,48.0,True,2019-04-27,0,134.4,134.4,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-64904,BOAMP_CURRENT,SIREN:288500010,SIREN_ENRICHED,SDIS 85,288500010,,Software & Applications,False,48.0,2015-04-28,2015-04-28,68.0,False,2020-12-28,0,134.36,134.36,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-65940,BOAMP_CURRENT,NAME:pole sante sarthe loire,NAME,Pole Santé Sarthe et Loire,,,IT Maintenance & Support,False,72.0,2015-04-29,2015-04-29,48.0,True,2019-04-29,0,134.33,134.33,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-65742,BOAMP_CURRENT,SIREN:217500016,SIREN_ENRICHED,Ville du Mans,217500016,,Telecom & Networks,False,32.0,2015-07-10,2015-07-10,48.0,True,2019-07-10,0,131.96,131.96,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-68078,BOAMP_CURRENT,NAME:dir ouest,NAME,DIR Ouest,,,Telecom & Networks,False,32.0,2015-05-04,2015-05-04,48.0,False,2019-05-04,1,52.99,,52.99,BOAMP:19-71182,0.82358,1.0,0.58421,0.80075,0.4441699999999999,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-67480,BOAMP_CURRENT,NAME:syndicat departemental energie,NAME,Syndicat Départemental d'Energie,,,Software & Applications,True,48.0,2015-05-04,2015-05-04,48.0,True,2019-05-04,0,134.17,134.17,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-70236,BOAMP_CURRENT,SIREN:288500010,SIREN_ENRICHED,SDIS 85,288500010,,IT Services & Consulting,False,72.0,2015-05-06,2015-05-06,42.0,False,2018-11-06,0,134.1,134.1,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-71156,BOAMP_CURRENT,SIREN:194909701,SIREN_ENRICHED,Université d'Angers,194909701,,Software & Applications,False,48.0,2015-10-06,2015-10-06,48.0,False,2019-10-06,1,58.94,,58.94,BOAMP:20-47300,0.64317,1.0,0.0887,0.66787,0.30387,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-72457,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,IT Services & Consulting,False,72.0,2015-05-12,2015-05-12,12.0,False,2016-05-12,1,4.89,,4.89,BOAMP:15-92588,0.55203,1.0,0.40791,0.69343,0.07216,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-78724,BOAMP_CURRENT,NAME:e collectivites vendee,NAME,e-Collectivités Vendée,,,IT Services & Consulting,False,72.0,2015-05-22,2015-05-22,48.0,True,2019-05-22,0,133.57,133.57,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-78916,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,IT Services & Consulting,False,72.0,2015-05-22,2015-05-22,48.0,True,2019-05-22,0,133.57,133.57,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-78924,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,Telecom & Networks,False,,2015-05-26,2015-05-26,12.0,False,2016-05-26,0,133.44,133.44,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-81386,BOAMP_CURRENT,NAME:gpm nantes st nazaire,NAME,GPM de Nantes - St Nazaire,,,Software & Applications,False,48.0,2015-05-28,2015-05-28,48.0,True,2019-05-28,0,133.38,133.38,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-81231,BOAMP_CURRENT,NAME:saem vendee,NAME,SAEM Vendée,,,IT Services & Consulting,True,72.0,2015-09-28,2015-09-28,48.0,True,2019-09-28,0,129.34,129.34,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-82510,BOAMP_CURRENT,NAME:cg49,NAME,CG49,,,Data & AI,False,,2015-06-01,2015-06-01,48.0,True,2019-06-01,0,133.25,133.25,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-82236,BOAMP_CURRENT,SIREN:214401432,SIREN_ENRICHED,Ville de Rezé,214401432,,Unknown,False,38.0,2015-06-01,2015-06-01,48.0,False,2019-06-01,0,133.25,133.25,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-83632,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,IT Services & Consulting,False,72.0,2015-06-03,2015-06-03,48.0,True,2019-06-03,1,36.1,,36.1,BOAMP:18-76556,0.85097,1.0,0.00865,0.73914,0.1801399999999999,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-85320,BOAMP_CURRENT,SIREN:110006012,SIREN_ENRICHED,Ministère des Affaires étrangères,110006012,,Software & Applications,True,48.0,2015-06-04,2015-06-04,48.0,True,2019-06-04,0,133.15,133.15,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-84881,BOAMP_CURRENT,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,794304097,,Software & Applications,False,48.0,2015-10-14,2015-10-14,48.0,False,2019-10-14,1,47.83,,47.83,BOAMP:19-151382,0.66371,0.2,0.98598,0.67196,0.10146,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-86218,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,Cybersecurity,False,35.0,2015-06-05,2015-06-05,48.0,False,2019-06-05,0,133.11,133.11,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-87511,BOAMP_CURRENT,SIREN:265300087,SIREN_ENRICHED,Centre Hospitalier du Haut Anjou,265300087,,Telecom & Networks,False,,2015-06-09,2015-06-09,48.0,True,2019-06-09,0,132.98,132.98,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-69493,BOAMP_CURRENT,NAME:ademe,NAME,ADEME,,,Data & AI,False,72.0,2015-06-10,2015-06-10,11.0,False,2016-05-10,1,34.26,,34.26,BOAMP:18-43289,0.85314,1.0,0.0,0.69632,0.22579,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-89415,BOAMP_CURRENT,NAME:ch mans,NAME,CH LE MANS,,,Software & Applications,False,,2015-06-11,2015-06-11,48.0,True,2019-06-11,0,132.92,132.92,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-89263,BOAMP_CURRENT,SIREN:258500222,SIREN_ENRICHED,Vendée Eau,258500222,,Data & AI,False,72.0,2015-07-22,2015-07-22,48.0,True,2019-07-22,1,45.76,,45.76,BOAMP:19-75795,0.62244,0.4,0.81351,0.66613,0.20081,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-90549,BOAMP_CURRENT,SIREN:242900769,SIREN_ENRICHED,Concarneau Cornouaille Agglomération,242900769,,IT Services & Consulting,False,72.0,2015-06-15,2015-06-15,48.0,True,2019-06-15,0,132.79,132.79,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-90148,BOAMP_CURRENT,SIREN:242900769,SIREN_ENRICHED,Concarneau Cornouaille Agglomération,242900769,,IT Hardware & Equipment,False,30.0,2015-06-15,2015-06-15,48.0,True,2019-06-15,0,132.79,132.79,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-92216,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,IT Services & Consulting,False,72.0,2015-06-16,2015-06-16,48.0,True,2019-06-16,1,71.78,,71.78,BOAMP:21-78563,0.66515,1.0,0.0,0.65936,0.0977799999999999,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-92588,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,IT Services & Consulting,False,72.0,2015-10-08,2015-10-08,12.0,False,2016-10-08,0,129.01,129.01,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-94958,BOAMP_CURRENT,SIREN:791052491,SIREN_ENRICHED,Ville d'Allonnes,791052491,,Telecom & Networks,False,,2015-06-22,2015-06-22,48.0,True,2019-06-22,0,132.56,132.56,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-93928,BOAMP_CURRENT,NAME:cte agglomeration choletais,NAME,Cté d'Agglomération du Choletais,,,Cloud & Infrastructure,False,39.0,2015-06-22,2015-06-22,48.0,True,2019-06-22,0,132.56,132.56,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-95100,BOAMP_CURRENT,SIREN:247200132,SIREN_ENRICHED,Le Mans Métropole - Communauté Urbaine,247200132,,Telecom & Networks,False,31.0,2015-06-22,2015-06-22,48.0,True,2019-06-22,1,48.59,,48.59,BOAMP:19-105444,0.87036,0.0,0.95105,0.70576,0.17958,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-95253,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,Cybersecurity,False,35.0,2015-06-22,2015-06-22,48.0,True,2019-06-22,0,132.56,132.56,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-95813,BOAMP_CURRENT,SIREN:214401622,SIREN_ENRICHED,Commune de Saint-Herblain,214401622,,Software & Applications,False,48.0,2015-10-14,2015-10-14,48.0,True,2019-10-14,0,128.81,128.81,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-96106,BOAMP_CURRENT,NAME:cnieg,NAME,CNIEG,,,IT Services & Consulting,False,72.0,2015-06-24,2015-06-24,48.0,True,2019-06-24,0,132.49,132.49,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-96786,BOAMP_CURRENT,NAME:conseil general sarthe,NAME,Conseil Général de la Sarthe,,,IT Services & Consulting,False,72.0,2015-06-24,2015-06-24,48.0,True,2019-06-24,0,132.49,132.49,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-96870,BOAMP_CURRENT,SIREN:244900015,SIREN_ENRICHED,Angers Loire Métropole,244900015,,IT Services & Consulting,False,72.0,2015-06-25,2015-06-25,48.0,True,2019-06-25,0,132.46,132.46,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-98976,BOAMP_CURRENT,SIREN:110006012,SIREN_ENRICHED,Ministère des Affaires étrangères,110006012,,Software & Applications,True,48.0,2015-06-29,2015-06-29,24.0,False,2017-06-29,0,132.33,132.33,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-100830,BOAMP_CURRENT,SIREN:247200132,SIREN_ENRICHED,Le Mans Métropole - Communauté Urbaine,247200132,,Unknown,False,45.0,2015-07-01,2015-07-01,48.0,True,2019-07-01,0,132.26,132.26,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-100455,BOAMP_CURRENT,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,794304097,,Cybersecurity,False,35.0,2015-11-20,2015-11-20,48.0,False,2019-11-20,0,127.6,127.6,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-102510,BOAMP_CURRENT,NAME:conseil general sarthe,NAME,Conseil Général de la Sarthe,,,Digital Workplace & Collaboration,False,72.0,2016-01-26,2016-01-26,48.0,True,2020-01-26,0,125.39,125.39,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-105085,BOAMP_CURRENT,NAME:ccir pays loire,NAME,CCIR Pays de la Loire,,,Software & Applications,False,48.0,2015-07-07,2015-07-07,48.0,True,2019-07-07,0,132.06,132.06,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-104125,BOAMP_CURRENT,SIREN:214401093,SIREN_ENRICHED,Ville de Nantes,214401093,,Software & Applications,False,48.0,2015-07-08,2015-07-08,48.0,False,2019-07-08,0,132.03,132.03,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-107245,BOAMP_CURRENT,SIREN:247200132,SIREN_ENRICHED,Le Mans Métropole - Communauté Urbaine,247200132,,Software & Applications,False,48.0,2016-02-02,2016-02-02,48.0,True,2020-02-02,0,125.16,125.16,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-108955,BOAMP_CURRENT,SIREN:247200132,SIREN_ENRICHED,Le Mans Métropole - Communauté Urbaine,247200132,,Telecom & Networks,False,,2015-07-13,2015-07-13,48.0,True,2019-07-13,1,47.9,,47.9,BOAMP:19-105444,0.63644,,0.99146,0.80502,0.15374,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
