idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure,notice_id_original,raw_source_file_group,notice_id,year,buyer_name_raw,buyer_name_normalized,objet_clean,buyer_siret_raw,buyer_siret_clean,buyer_siren_raw,buyer_siren_clean,buyer_siren_from_siret,cpv_clean,cpv_full8,cpv_div2,cpv_group3,cpv_class4,cpv_category5,cpv_is_missing,cpv_is_generic,amount_raw,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,duration_raw_boamp,flag_duration_suspect,duration_clean,duration_imputed_flag,category_id,category_label,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note,buyer_key,buyer_key_type,buyer_key_source,raw_trace_id
15-33241,2015-03-05,2015-04-20,2015-04-20T15:00:00+00:00,CHU de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Interphone|Maintenance|Matériel de transmission,acquisition et maintenance d'un système d'appel malade pour la maison de pirmil sur le site de l'hôpital Saint Jacques à Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-33241,legacy,32510000,32510000,,44093,Nantes,,,,,,15-33241,data/raw/boamp_current,15-33241,2015,CHU de Nantes,chu nantes,acquisition et maintenance d un systeme d appel malade pour la maison de pirmil sur le site de l hopital saint jacques a nantes,,,,,,32510000,32510000,32,325,3251,32510,False,False,,0,0,0,,,0,,True,CAT04,Telecom & Networks,264400136,26440013600471,previous_high_confidence_cache,HIGH,matched,91.3,,1,CHU NANTES (CHU),seeded from existing high-confidence buyer enrichment,SIREN:264400136,SIREN_ENRICHED,external_enrichment,BOAMP:15-33241
15-33752,2015-03-06,2015-04-15,2015-04-15T12:00:00+00:00,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Internet,"gestion des communautés web, à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-33752,legacy,72310000,72310000,,44966,Nantes cedex 9,,,,,,15-33752,data/raw/boamp_current,15-33752,2015,Conseil régional des Pays de la Loire,conseil regional pays loire,gestion des communautes web a nantes,,,,,,72310000,72310000,72,723,7231,72310,False,False,,0,0,0,,,0,,True,CAT03,Cybersecurity,234400034,23440003400026,previous_high_confidence_cache,HIGH,matched,81.3,,1,REGION DES PAYS DE LA LOIRE,seeded from existing high-confidence buyer enrichment,SIREN:234400034,SIREN_ENRICHED,external_enrichment,BOAMP:15-33752
15-34520,2015-03-06,2015-04-09,2015-04-09T16:00:00+00:00,CHU d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Matériel de transmission|Pièces détachées,"Fourniture de pièces détachées et accessoires pour appel-malades, interphonie et matériels assimilés pour le CHU à Angers",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-34520,legacy,32360000,32360000,,49933,Angers,,,,,,15-34520,data/raw/boamp_current,15-34520,2015,CHU d'Angers,chu angers,fourniture de pieces detachees et accessoires pour appel malades interphonie et materiels assimiles pour le chu a angers,,,,,,32360000,32360000,32,323,3236,32360,False,False,,0,0,0,,,0,,True,CAT04,Telecom & Networks,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,44.8,,1,CENTRE HOSPITALIER UNIVERSITAIRE D'ANGERS,query=chu chu d angers,NAME:chu angers,NAME,normalized_buyer_name,BOAMP:15-34520
15-37182,2015-03-11,2015-03-20,2015-04-07T14:30:00+00:00,MINDEF/DGA/DT/SCAT,18|49|92,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,,5|1|,Armement|Equipements spécialisés,"acquisition de capteurs pour des mesures d'accélération, y compris accessoires et prestations d'étalonnage, à Bourges",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-37182,legacy,35125100,35125100,,18021,Bourges cedex,,48.0,DUREE_MOIS,,,15-37182,data/raw/boamp_current,15-37182,2015,MINDEF/DGA/DT/SCAT,mindef dga dt scat,acquisition de capteurs pour des mesures d acceleration y compris accessoires et prestations d etalonnage a bourges,,,,,,35125100,35125100,35,351,3512,35125,False,False,,0,0,0,,48.0,0,48.0,False,CAT03,Cybersecurity,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=mindef dga dt scat,NAME:mindef dga dt scat,NAME,normalized_buyer_name,BOAMP:15-37182
15-38026,2015-03-16,2015-04-11,,CNIEG,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Reprographie|Télécommunications,"prestation de mise en place et d'exploitation d'un centre d'appels et de traitement de services informatiques,télécom et reprographie au profit de la CNIEG à Nantes",DCS EASYWARE,14-175676,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-38026,legacy,72611000,72611000,,44200,Nantes,,,,2015-03-11,,15-38026,data/raw/boamp_current,15-38026,2015,CNIEG,cnieg,prestation de mise en place et d exploitation d un centre d appels et de traitement de services informatiques telecom et reprographie au profit de la cnieg a nantes,,,,,,72611000,72611000,72,726,7261,72611,False,False,,0,0,0,,,0,,True,CAT10,IT Maintenance & Support,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,29.3,,1,CAISSE NAT INDUSTRIES ELECT GAZIERES (CNIEG),query=cnieg,NAME:cnieg,NAME,normalized_buyer_name,BOAMP:15-38026
15-37556,2015-03-16,2015-04-11,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services)|Logiciel,maintenance et support de l'installation pare-feu et passerelle de réseau privé virtuel checkpoint au Mans,Société NEXTIRAONE France,14-154990,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-37556,legacy,72267000,72267000,,72039,Le Mans,93195.0,,,2015-02-03,,15-37556,data/raw/boamp_current,15-37556,2015,Le Mans Métropole - Communauté Urbaine,mans metropole communaute urbaine,maintenance et support de l installation pare feu et passerelle de reseau prive virtuel checkpoint au mans,,,,,,72267000,72267000,72,722,7226,72267,False,False,93195.0,0,0,0,93195.0,,0,,True,CAT02,IT Services & Consulting,247200132,24720013200014,previous_high_confidence_cache,HIGH,matched,100.0,60.5,4,LE MANS METROPOLE COMMUNAUTE URBAINE,seeded from existing high-confidence buyer enrichment,SIREN:247200132,SIREN_ENRICHED,external_enrichment,BOAMP:15-37556
15-42843,2015-03-24,2015-04-13,2015-04-13T11:30:00+00:00,Cté de Cnes de l'Ile de Noirmoutier,85|44|35|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),prestation pour la réalisation d'une plateforme e-commerce sur l'ile à Noirmoutier,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-42843,legacy,72000000,72000000,,85330,Noirmoutier-en-l'Ile,,48.0,DUREE_MOIS,,,15-42843,data/raw/boamp_current,15-42843,2015,Cté de Cnes de l'Ile de Noirmoutier,cte cnes ile noirmoutier,prestation pour la realisation d une plateforme e commerce sur l ile a noirmoutier,,,,,,72000000,72000000,72,720,7200,72000,False,True,,0,0,0,,48.0,0,48.0,False,CAT02,IT Services & Consulting,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=cte cnes ile noirmoutier,NAME:cte cnes ile noirmoutier,NAME,normalized_buyer_name,BOAMP:15-42843
15-44999,2015-03-24,2015-05-05,2015-05-05T16:00:00+00:00,Conseil général de la Vendée,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Plastique|Produits des industries diverses|Textile,fourniture d'articles répondant aux besoins des associations et des manifestations à caractère promotionnel à La Roche Sur Yon,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-44999,legacy,39294100,39294100|18230000|22459100|35821000,,85923,La Roche sur Yon,,,,,,15-44999,data/raw/boamp_current,15-44999,2015,Conseil général de la Vendée,conseil general vendee,fourniture d articles repondant aux besoins des associations et des manifestations a caractere promotionnel a la roche sur yon,,,,,,39294100,39294100,39,392,3929,39294,False,False,,0,0,0,,,0,,True,CAT03,Cybersecurity,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,52.7,,1,DEPARTEMENT DE VENDEE,query=departement la vendee,NAME:conseil general vendee,NAME,normalized_buyer_name,BOAMP:15-44999
15-45725,2015-03-26,2015-04-24,,Ville du Mans,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),abonnement à une base de données avec acquisition de licences d'accès simultanés et fourniture de notices bibliographiques pour la médiathèque Louis Aragon au Mans,ELECTRE,14-194936,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-45725,legacy,72320000,72320000,,72039,LE MANS,,,,2015-03-17,,15-45725,data/raw/boamp_current,15-45725,2015,Ville du Mans,ville mans,abonnement a une base de donnees avec acquisition de licences d acces simultanes et fourniture de notices bibliographiques pour la mediatheque louis aragon au mans,,,,,,72320000,72320000,72,723,7232,72320,False,False,,0,0,0,,,0,,True,CAT09,GIS & Mapping,217500016,21750001600019,api_recherche_entreprises_current,HIGH,matched,80.2,16.6,10,VILLE DE PARIS,query=ville mans,SIREN:217500016,SIREN_ENRICHED,external_enrichment,BOAMP:15-45725
15-47591,2015-03-27,2015-04-20,2015-04-20T11:00:00+00:00,Ville d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Réseaux divers,"Boucle optique Angevine et infrastructures de communications électroniques : extensions et restructurations, à Angers",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47591,legacy,32412100,32412100,,49020,Angers,,36.0,DUREE_MOIS,,,15-47591,data/raw/boamp_current,15-47591,2015,Ville d'Angers,ville angers,boucle optique angevine et infrastructures de communications electroniques extensions et restructurations a angers,,,,,,32412100,32412100,32,324,3241,32412,False,False,,0,0,0,,36.0,0,36.0,False,CAT04,Telecom & Networks,532458809,53245880900029,previous_high_confidence_cache,HIGH,matched,88.0,24.2,10,VIGNE EN VILLE ANGERS,seeded from existing high-confidence buyer enrichment,SIREN:532458809,SIREN_ENRICHED,external_enrichment,BOAMP:15-47591
15-47696,2015-03-30,2015-05-07,2015-05-07T16:30:00+00:00,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Prestation t.m.a. de la messagerie du m.a.e.d.i. dans l'evironnement kerio et logiciels libres d'une part et dans l'environnement microsoft de l'autre pour le Ministère des Affaires étrangères à Paris,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47696,legacy,72500000,72500000,,75015,Paris,,48.0,DUREE_MOIS,,,15-47696,data/raw/boamp_current,15-47696,2015,Ministère des Affaires étrangères,ministere affaires etrangeres,prestation t m a de la messagerie du m a e d i dans l evironnement kerio et logiciels libres d une part et dans l environnement microsoft de l autre pour le ministere des affaires etrangeres a paris,,,,,,72500000,72500000,72,725,7250,72500,False,False,,0,0,0,,48.0,0,48.0,False,CAT02,IT Services & Consulting,110006012,11000601200014,previous_high_confidence_cache,HIGH,matched,97.2,20.2,10,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,seeded from existing high-confidence buyer enrichment,SIREN:110006012,SIREN_ENRICHED,external_enrichment,BOAMP:15-47696
15-47899,2015-03-31,2015-05-30,,SDIS du Maine et Loire,49,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Informatique (prestations de services)|Logiciel,"acquisition, installation et maintenance de solutions informatiques de gestion dématérialisée du courrier et d'un parapheur électronique à Beaucouzé",Digitech,14-189541,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47899,legacy,48223000,48223000,,49071,Beaucouzé,33263.33,,,2015-03-13,,15-47899,data/raw/boamp_current,15-47899,2015,SDIS du Maine et Loire,sdis maine loire,acquisition installation et maintenance de solutions informatiques de gestion dematerialisee du courrier et d un parapheur electronique a beaucouze,,,,,,48223000,48223000,48,482,4822,48223,False,False,33263.33,0,0,0,33263.33,,0,,True,CAT01,Software & Applications,284900016,28490001600023,previous_high_confidence_cache,HIGH,matched,100.0,38.0,3,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),seeded from existing high-confidence buyer enrichment,SIREN:284900016,SIREN_ENRICHED,external_enrichment,BOAMP:15-47899
15-31076,2015-04-01,2015-04-28,2015-04-28T11:30:00+00:00,Ville de La Roche-sur-Yon,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Matériel de secours et d'incendie|Mobilier extérieur,Fourniture de matériels de protection et de signalisation incendie au profit de la ville à La Roche-Sur-Yon,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31076,legacy,35110000,35110000,,85021,La Roche-sur-Yon,,48.0,DUREE_MOIS,,,15-31076,data/raw/boamp_current,15-31076,2015,Ville de La Roche-sur-Yon,ville roche yon,fourniture de materiels de protection et de signalisation incendie au profit de la ville a la roche sur yon,,,,,,35110000,35110000,35,351,3511,35110,False,False,,0,0,0,,48.0,0,48.0,False,CAT03,Cybersecurity,218501914,21850191400566,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LA ROCHE-SUR-YON,seeded from existing high-confidence buyer enrichment,SIREN:218501914,SIREN_ENRICHED,external_enrichment,BOAMP:15-31076
15-50314,2015-04-02,2015-05-07,,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (prestations de services),"T.M.A. de la messagerie du M.A.E.D.I. dans l'evironnement KERIO et logiciels libres d'une part et dans l'environnement microsoft de l'autre, à Paris (annulation)",,15-47696,,ANNULATION,https://www.boamp.fr/pages/avis/?q=idweb:15-50314,legacy,72500000,72500000,,75015,Paris,,,,,,15-50314,data/raw/boamp_current,15-50314,2015,Ministère des Affaires étrangères,ministere affaires etrangeres,t m a de la messagerie du m a e d i dans l evironnement kerio et logiciels libres d une part et dans l environnement microsoft de l autre a paris annulation,,,,,,72500000,72500000,72,725,7250,72500,False,False,,0,0,0,,,0,,True,CAT02,IT Services & Consulting,110006012,11000601200014,previous_high_confidence_cache,HIGH,matched,97.2,20.2,10,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,seeded from existing high-confidence buyer enrichment,SIREN:110006012,SIREN_ENRICHED,external_enrichment,BOAMP:15-50314
15-51571,2015-04-07,2015-05-18,2015-05-18T11:00:00+00:00,RESIDENCES SAINT ALEXANDRE,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (prestations de services)|Logiciel,"evolution du système d'information autour du dossier du résident informatisé, à Mortagne Sur Sevre",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-51571,legacy,48180000,48180000,,85290,Mortagne sur sevre,,,,,,15-51571,data/raw/boamp_current,15-51571,2015,RESIDENCES SAINT ALEXANDRE,residences saint alexandre,evolution du systeme d information autour du dossier du resident informatise a mortagne sur sevre,,,,,,48180000,48180000,48,481,4818,48180,False,False,,0,0,0,,,0,,True,CAT01,Software & Applications,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,59.8,,1,ALEXANDRE VIGIER,query=residences saint alexandre,NAME:residences saint alexandre,NAME,normalized_buyer_name,BOAMP:15-51571
