contract_id,source,buyer_key_original,buyer_key_enriched,enrichment_confidence,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id,text_similarity
BOAMP:15-32168,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2015-07-21,24.0,1,33.21,,boamp_jaccard,BOAMP:18-12119,0.238
BOAMP:15-92588,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2015-10-08,12.0,1,14.65,,boamp_jaccard,BOAMP:16-136139,0.238
BOAMP:15-141361,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2015-12-07,48.0,0,108.8,,none,,
BOAMP:16-61484,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2016-07-28,48.0,1,46.45,600000.0,boamp_jaccard,BOAMP:20-12202,0.238
BOAMP:16-85662,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT09,GIS & Mapping,2016-10-14,6.0,1,9.82,41700.0,boamp_jaccard,BOAMP:17-71849,0.278
BOAMP:16-124376,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2016-10-31,24.0,0,98.0,,none,,
BOAMP:16-136139,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2016-12-27,12.0,1,7.39,,boamp_jaccard,BOAMP:17-68186,1.0
BOAMP:17-62129,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2017-05-04,18.0,0,91.92,,none,,
BOAMP:17-35759,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2017-06-02,24.0,0,90.97,,none,,
BOAMP:17-48788,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2017-07-24,24.0,0,89.26,,none,,
BOAMP:17-71849,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2017-08-09,12.0,0,88.73,,none,,
BOAMP:17-68186,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2017-08-09,12.0,1,11.33,500000.0,boamp_jaccard,BOAMP:18-103319,0.24
BOAMP:17-140377,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2017-12-14,24.0,0,84.56,,none,,
BOAMP:17-120212,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2017-12-15,12.0,0,84.53,,none,,
BOAMP:17-171316,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2018-03-22,48.0,0,81.34,,none,,
BOAMP:18-12119,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2018-04-27,48.0,1,44.55,,boamp_jaccard,BOAMP:21-116891,0.333
BOAMP:18-26824,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2018-06-25,12.0,0,78.22,,none,,
BOAMP:18-30222,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2018-07-12,12.0,0,77.66,,none,,
BOAMP:18-103319,BOAMP,NAME:prefet de la region pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2018-07-20,12.0,1,22.73,,boamp_jaccard,BOAMP:20-12202,0.261
BOAMP:18-79401,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2018-10-09,6.0,0,74.74,,none,,
BOAMP:18-150422,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2018-10-27,24.0,0,74.15,,none,,
BOAMP:18-128655,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2019-01-11,48.0,1,39.03,,boamp_jaccard,BOAMP:22-20320,0.286
BOAMP:19-1779,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2019-05-14,12.0,0,67.61,,none,,
BOAMP:19-17058,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2019-05-24,12.0,1,9.4,,boamp_jaccard,BOAMP:20-32737,0.2
BOAMP:19-174098,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2019-11-21,24.0,0,61.33,,none,,
BOAMP:19-128681,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2019-12-11,12.0,0,60.68,,none,,
BOAMP:19-147943,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2019-12-27,24.0,1,17.58,,boamp_jaccard,BOAMP:21-26779,0.333
BOAMP:20-5957,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2020-01-16,12.0,0,59.49,,none,,
BOAMP:20-32737,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2020-03-05,12.0,0,57.88,,none,,
BOAMP:19-184490,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2020-03-30,48.0,0,57.06,,none,,
BOAMP:20-12202,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2020-06-11,12.0,1,22.04,,boamp_jaccard,BOAMP:22-20320,0.667
BOAMP:20-142015,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2020-11-21,36.0,0,49.31,,none,,
BOAMP:20-110309,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2021-01-11,6.0,0,47.63,,none,,
BOAMP:20-124045,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2021-02-02,24.0,0,46.91,,none,,
BOAMP:21-35651,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2021-03-19,48.0,0,45.43,,none,,
BOAMP:21-16505,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2021-05-10,12.0,1,8.11,,boamp_jaccard,BOAMP:21-116891,0.214
BOAMP:21-26779,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2021-06-14,24.0,1,29.11,,boamp_jaccard,BOAMP:23-160148,0.333
BOAMP:21-46043,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2021-06-30,12.0,0,42.05,,none,,
BOAMP:21-126684,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2022-01-10,24.0,0,35.68,,none,,
BOAMP:21-116891,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2022-01-12,48.0,0,35.61,,none,,
BOAMP:22-8616,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2022-01-19,48.0,0,35.38,,none,,
BOAMP:22-20320,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2022-04-13,48.0,0,32.62,,none,,
BOAMP:22-69952,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2022-05-16,24.0,0,31.54,,none,,
BOAMP:22-13142,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2022-07-11,12.0,0,29.7,,none,,
BOAMP:22-153148,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2022-11-19,5.0,0,25.39,,none,,
BOAMP:23-20260,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-02-12,12.0,0,22.6,,none,,
BOAMP:23-49217,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-04-14,48.0,0,20.6,,none,,
BOAMP:23-63743,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-05-12,96.0,0,19.68,,none,,
BOAMP:23-63763,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-05-12,96.0,0,19.68,,none,,
BOAMP:23-69310,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-05-22,36.0,0,19.35,,none,,
BOAMP:23-12419,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2023-05-31,12.0,0,19.05,,none,,
BOAMP:23-73693,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-06-02,24.0,0,18.99,,none,,
BOAMP:23-98718,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-07-14,48.0,0,17.61,,none,,
BOAMP:23-134735,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-09-29,12.0,0,15.08,,none,,
BOAMP:23-160148,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-11-17,48.0,0,13.47,,none,,
BOAMP:23-174149,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2023-12-16,48.0,0,12.52,,none,,
BOAMP:15-31641,BOAMP,NAME:ircantec,SIREN:784301525,HIGH,,CAT08,Data & AI,2015-03-04,12.0,0,117.94,800000.0,none,,
BOAMP:15-31797,BOAMP,NAME:acoss,NAME:acoss,NO_MATCH,72.0,CAT02,IT Services & Consulting,2015-03-04,12.0,0,117.94,,none,,
BOAMP:15-33241,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2015-09-11,48.0,1,52.96,,boamp_jaccard,BOAMP:20-19986,0.2
BOAMP:18-94803,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2018-07-06,12.0,0,77.86,,none,,
BOAMP:19-103545,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2019-07-06,72.0,0,65.87,3600000.0,none,,
BOAMP:19-165120,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2019-10-30,12.0,0,62.06,,none,,
BOAMP:20-19986,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2020-02-09,48.0,0,58.71,,none,,
BOAMP:20-136269,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2020-11-08,84.0,0,49.74,350000.0,none,,
BOAMP:23-6398,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2023-01-13,60.0,0,23.59,,none,,
BOAMP:24-24049,BOAMP,SIRET:17440005100010,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2024-02-28,6.0,0,10.09,,none,,
BOAMP:24-66818,BOAMP,SIRET:17440005100010,SIREN:264400136,HIGH,32.0,CAT04,Telecom & Networks,2024-06-09,6.0,0,6.73,,none,,
BOAMP:15-34520,BOAMP,NAME:d angers,NAME:d angers,NO_MATCH,32.0,CAT04,Telecom & Networks,2015-03-06,48.0,0,117.87,,none,,
BOAMP:15-37182,BOAMP,NAME:mindef dga dt scat,NAME:mindef dga dt scat,NO_MATCH,35.0,CAT03,Cybersecurity,2015-03-11,48.0,0,117.71,,none,,
BOAMP:15-42843,BOAMP,NAME:cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,NO_MATCH,72.0,CAT02,IT Services & Consulting,2015-03-24,48.0,0,117.28,,none,,
BOAMP:15-44999,BOAMP,NAME:conseil general de la vendee,NAME:conseil general de la vendee,NO_MATCH,39.0,CAT03,Cybersecurity,2015-03-24,48.0,0,117.28,,none,,
BOAMP:15-47591,BOAMP,NAME:ville d angers,SIREN:532458809,HIGH,32.0,CAT04,Telecom & Networks,2015-03-27,36.0,0,117.18,,none,,
BOAMP:15-56776,BOAMP,NAME:ville d angers,SIREN:532458809,HIGH,32.0,CAT04,Telecom & Networks,2015-04-15,48.0,0,116.56,,none,,
BOAMP:16-83187,BOAMP,NAME:ville d angers,SIREN:532458809,HIGH,32.0,CAT04,Telecom & Networks,2016-06-07,48.0,0,102.79,,none,,
BOAMP:21-121431,BOAMP,NAME:ville d angers,SIREN:532458809,HIGH,32.0,CAT04,Telecom & Networks,2021-09-30,12.0,0,39.03,,none,,
BOAMP:15-47696,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2015-03-30,48.0,0,117.08,,none,,
BOAMP:15-50314,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2015-04-02,48.0,0,116.98,,none,,
BOAMP:15-52664,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2015-04-08,48.0,0,116.79,,none,,
BOAMP:17-44758,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2017-08-23,48.0,0,88.27,,none,,
BOAMP:17-134575,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT03,Cybersecurity,2018-01-16,48.0,0,83.48,2000000.0,none,,
BOAMP:20-8874,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2020-10-14,12.0,1,4.89,1000000.0,boamp_jaccard,BOAMP:21-22700,0.286
BOAMP:21-22700,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2021-03-12,24.0,1,25.79,,boamp_jaccard,BOAMP:23-61473,0.263
BOAMP:22-120139,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT03,Cybersecurity,2023-04-28,48.0,0,20.14,,none,,
BOAMP:23-61473,BOAMP,NAME:ministere des affaires etrangeres,SIREN:110006012,HIGH,72.0,CAT02,IT Services & Consulting,2023-05-06,24.0,0,19.88,,none,,
BOAMP:15-31076,BOAMP,NAME:la roche sur yon,SIREN:218501914,HIGH,35.0,CAT03,Cybersecurity,2015-04-01,48.0,0,117.02,,none,,
BOAMP:16-92162,BOAMP,NAME:la roche sur yon,SIREN:218501914,HIGH,35.0,CAT03,Cybersecurity,2016-12-19,48.0,0,96.39,430000.0,none,,
BOAMP:15-51571,BOAMP,NAME:residences saint alexandre,NAME:residences saint alexandre,LOW,48.0,CAT01,Software & Applications,2015-04-07,48.0,0,116.82,,none,,
BOAMP:15-53947,BOAMP,NAME:saint herblain,SIREN:214401622,HIGH,48.0,CAT01,Software & Applications,2015-04-10,48.0,0,116.72,,none,,
BOAMP:15-95813,BOAMP,NAME:saint herblain,SIREN:214401622,HIGH,48.0,CAT01,Software & Applications,2015-10-14,48.0,0,110.58,,none,,
BOAMP:15-164088,BOAMP,NAME:saint herblain,SIREN:214401622,HIGH,48.0,CAT05,Cloud & Infrastructure,2015-10-28,48.0,0,110.12,,none,,
BOAMP:15-54892,BOAMP,NAME:85,SIREN:288500010,HIGH,32.0,CAT04,Telecom & Networks,2015-04-10,48.0,0,116.72,,none,,
BOAMP:20-137315,BOAMP,NAME:85,SIREN:288500010,HIGH,32.0,CAT04,Telecom & Networks,2021-04-12,60.0,0,44.65,930000.0,none,,
BOAMP:24-74644,BOAMP,SIRET:28850001000013,SIREN:288500010,HIGH,32.0,CAT04,Telecom & Networks,2024-06-28,5.913272010512483,0,6.11,200000.0,none,,
BOAMP:15-54272,BOAMP,NAME:de cholet,SIREN:264900390,HIGH,,CAT_UNKNOWN,Unknown,2015-04-10,44.0,0,116.72,,none,,
BOAMP:15-54977,BOAMP,NAME:conseil general de la sarthe,NAME:conseil general de la sarthe,NO_MATCH,64.0,CAT07,Digital Workplace & Collaboration,2015-04-13,48.0,0,116.62,,none,,
BOAMP:15-55213,BOAMP,NAME:ville du croisic,SIREN:451324974,HIGH,32.0,CAT04,Telecom & Networks,2015-04-13,12.0,0,116.62,,none,,
BOAMP:15-56123,BOAMP,NAME:le mans metropole communaute urbaine,SIREN:247200132,HIGH,45.0,CAT_UNKNOWN,Unknown,2015-04-14,48.0,0,116.59,,none,,
BOAMP:15-100830,BOAMP,NAME:le mans metropole communaute urbaine,SIREN:247200132,HIGH,45.0,CAT_UNKNOWN,Unknown,2015-07-01,48.0,0,114.03,,none,,
BOAMP:20-16573,BOAMP,NAME:le mans metropole communaute urbaine,SIREN:247200132,HIGH,45.0,CAT_UNKNOWN,Unknown,2020-02-03,48.0,0,58.9,,none,,
BOAMP:15-55527,BOAMP,NAME:cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NO_MATCH,48.0,CAT01,Software & Applications,2015-04-14,48.0,1,42.18,,boamp_jaccard,BOAMP:18-52482,0.25
BOAMP:18-14081,BOAMP,NAME:cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NO_MATCH,48.0,CAT01,Software & Applications,2018-02-02,48.0,0,82.92,160000.0,none,,
BOAMP:18-52482,BOAMP,NAME:cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NO_MATCH,48.0,CAT01,Software & Applications,2018-10-19,48.0,0,74.41,160000.0,none,,
BOAMP:15-56918,BOAMP,NAME:vallet,NAME:vallet,LOW,32.0,CAT04,Telecom & Networks,2015-04-15,12.0,0,116.56,,none,,
BOAMP:15-96106,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2015-06-24,48.0,0,114.26,,none,,
BOAMP:15-58339,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2015-07-22,48.0,0,113.34,,none,,
BOAMP:15-114783,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2015-07-23,48.0,0,113.3,,none,,
BOAMP:15-154566,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2016-01-28,48.0,0,107.1,,none,,
BOAMP:15-175690,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2016-02-23,24.0,0,106.24,,none,,
BOAMP:16-7712,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2016-05-24,24.0,0,103.25,,none,,
BOAMP:16-98551,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2016-07-01,48.0,0,102.0,,none,,
BOAMP:18-29896,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2018-03-02,48.0,0,82.0,,none,,
BOAMP:18-173960,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2018-12-15,24.0,0,72.54,,none,,
BOAMP:18-166821,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT07,Digital Workplace & Collaboration,2019-03-08,12.0,0,69.81,3900000.0,none,,
BOAMP:18-167431,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT10,IT Maintenance & Support,2019-03-08,24.0,0,69.81,450000.0,none,,
BOAMP:19-103125,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2019-07-04,12.0,0,65.93,,none,,
BOAMP:20-6485,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT03,Cybersecurity,2020-05-25,24.0,0,55.22,2000000.0,none,,
BOAMP:20-4011,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2020-05-29,24.0,0,55.09,1200000.0,none,,
BOAMP:20-64610,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2020-09-21,48.0,0,51.31,,none,,
BOAMP:23-43763,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2023-06-29,24.0,0,18.1,360000.0,none,,
BOAMP:23-20884,BOAMP,NAME:cnieg,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2023-10-06,24.0,0,14.85,3800000.0,none,,
BOAMP:24-34106,BOAMP,SIRET:47865038500014,NAME:cnieg,NO_MATCH,72.0,CAT02,IT Services & Consulting,2024-03-22,3.0,0,9.33,3000000.0,none,,
BOAMP:15-58989,BOAMP,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NO_MATCH,48.0,CAT01,Software & Applications,2015-04-17,48.0,0,116.49,,none,,
BOAMP:15-105085,BOAMP,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NO_MATCH,48.0,CAT01,Software & Applications,2015-07-07,48.0,0,113.83,,none,,
BOAMP:19-106429,BOAMP,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NO_MATCH,48.0,CAT01,Software & Applications,2019-10-21,48.0,0,62.35,,none,,
BOAMP:20-153801,BOAMP,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NO_MATCH,48.0,CAT01,Software & Applications,2021-02-22,48.0,0,46.25,,none,,
BOAMP:15-59370,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2015-04-20,48.0,0,116.39,,none,,
BOAMP:15-78916,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2015-05-22,48.0,0,115.34,,none,,
BOAMP:15-83632,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2015-06-03,48.0,1,36.1,,boamp_jaccard,BOAMP:18-76556,0.562
BOAMP:15-92216,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2015-06-16,48.0,0,114.52,,none,,
BOAMP:16-114945,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2016-08-01,24.0,0,100.99,,none,,
BOAMP:16-72442,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2016-11-16,48.0,1,47.6,,boamp_jaccard,BOAMP:20-50446,0.455
BOAMP:16-170680,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2016-11-25,48.0,0,97.17,,none,,
BOAMP:16-128870,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT10,IT Maintenance & Support,2016-12-22,48.0,1,49.21,,boamp_jaccard,BOAMP:20-118996,0.316
BOAMP:17-58486,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT07,Digital Workplace & Collaboration,2017-04-28,12.0,0,92.12,,none,,
BOAMP:17-14986,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2017-06-02,12.0,0,90.97,600000.0,none,,
BOAMP:17-93666,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2017-07-03,48.0,1,49.57,,boamp_jaccard,BOAMP:21-113953,0.211
BOAMP:17-102482,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2017-07-18,48.0,1,49.08,,boamp_jaccard,BOAMP:21-113953,0.211
BOAMP:17-61541,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2017-07-21,48.0,1,50.79,,boamp_jaccard,BOAMP:21-76925,0.643
BOAMP:18-2518,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-01-09,12.0,0,83.71,,none,,
BOAMP:18-6884,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-01-16,12.0,0,83.48,,none,,
BOAMP:17-159373,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-04-03,48.0,1,50.66,,boamp_jaccard,BOAMP:22-87982,0.273
BOAMP:18-76556,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-06-06,48.0,1,36.1,,boamp_jaccard,BOAMP:21-78563,0.208
BOAMP:18-120601,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-08-28,12.0,0,76.12,,none,,
BOAMP:18-121819,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2018-08-30,48.0,1,45.76,,boamp_jaccard,BOAMP:22-87982,0.636
BOAMP:20-68923,BOAMP,NAME:de nantes,SIREN:264400136,HIGH,72.0,CAT02,IT Services & Consulting,2020-05-29,12.0,0,55.09,,none,,
