notice_id,scenario,role,buyer_id,buyer_name,buyer_key,object,cpv,category,need_id,start_date,declared_duration_months,duration_missing_flag,estimated_end_date,true_event,true_source_id,candidate_type,noise_types_applied,large_buyer_flag
SYN_EASY_SRC_00012,easy,source,B0335,Syndicat mixte numérique 335,NAME:syndicat mixte numerique 335,services de télécommunications fixes et mobiles,32420000,Telecom & Networks,télécommunications,2015-12-26,12.0,0,2016-12-25,0,SYN_EASY_SRC_00012,source,none,False
SYN_EASY_FALSE_00012_00,easy,candidate,B0335,Syndicat mixte numérique 335,NAME:syndicat mixte numerique 335,prestations informatiques,32420000,Software & Applications,maintenance logiciel métier,2021-01-22,,1,,0,SYN_EASY_SRC_00012,false_candidate_same_buyer,false_candidate|generic_short_object|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00013,easy,source,B0004,CHU de Nantes,NAME:nantes,"prestations data, BI et cartographie décisionnelle incluant support, formation et maintenance",72212326,Data / BI / Cartography,data BI cartographie,2018-11-30,24.0,0,2020-11-29,0,SYN_EASY_SRC_00013,source,none,True
SYN_EASY_FALSE_00013_00,easy,candidate,B0004,CHU de Nantes,NAME:nantes,prestations informatiques,72212326,Cloud & Infrastructure,hébergement cloud,2021-04-09,,1,,0,SYN_EASY_SRC_00013,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,True
SYN_EASY_SRC_00014,easy,source,B0110,Vendée Eau 110,NAME:vendee eau 110,"prestations d'audit de sécurité du système d'information incluant support, formation et maintenance",48730000,Cybersecurity,audit sécurité SI,2020-06-22,48.0,0,2024-06-22,1,SYN_EASY_SRC_00014,source,none,False
SYN_EASY_TRUE_00014,easy,candidate,B0110,Vendée Eau 110,NAME:vendee eau 110,prestations d'audit de sécurité du système d'information,48730000,Cybersecurity,audit sécurité SI,2024-05-24,,1,,0,SYN_EASY_SRC_00014,true_recurrence,none,False
SYN_EASY_FALSE_00014_00,easy,candidate,B0110,Vendée Eau 110,NAME:vendee eau 110,solution collaborative et environnement de travail numérique,72212218,Digital Workplace & Collaboration,poste de travail,2023-11-07,,1,,0,SYN_EASY_SRC_00014,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_EASY_FALSE_00014_01,easy,candidate,B0110,Vendée Eau 110,NAME:vendee eau 110,fourniture d'équipements réseau et prestations associées,48730000,Telecom & Networks,équipements réseau,2025-05-29,,1,,0,SYN_EASY_SRC_00014,false_candidate_same_buyer,false_candidate|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00015,easy,source,B0193,SDIS 44 193,NAME:sdis 44 193,développement d'une application web cartographique,72590000,IT Services & Consulting,développement application web,2020-09-25,12.0,0,2021-09-25,0,SYN_EASY_SRC_00015,source,none,False
SYN_EASY_FALSE_00015_00,easy,candidate,B0065,Conseil départemental de la Sarthe 065,NAME:departemental sarthe 065,fourniture d'équipements réseau et prestations associées,72590000,Telecom & Networks,équipements réseau,2022-06-30,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00016,easy,source,B0155,La Roche-sur-Yon Agglomération 155,NAME:roche sur yon agglomeration 155,support et évolution de la solution applicative ressources humaines pour les besoins des services,48450000,Software & Applications,maintenance logiciel métier,2018-09-22,12.0,0,2019-09-22,1,SYN_EASY_SRC_00016,source,none,False
SYN_EASY_TRUE_00016,easy,candidate,B0155,La Roche-sur-Yon Agglomération 155,NAME:roche sur yon agglomeration 155,maintenance du logiciel métier bibliothèque,48450000,Software & Applications,maintenance logiciel métier,2019-10-23,,1,,0,SYN_EASY_SRC_00016,true_recurrence,none,False
SYN_EASY_SRC_00017,easy,source,B0026,Département de Loire-Atlantique 026,NAME:loire atlantique 026,"hébergement cloud et infogérance de plateformes numériques incluant support, formation et maintenance",72415000,Cloud & Infrastructure,hébergement cloud,2016-11-15,,1,2020-11-15,0,SYN_EASY_SRC_00017,source,missing_duration,False
SYN_EASY_SRC_00018,easy,source,B0024,Nantes Métropole 024,NAME:nantes 024,"développement d'une application web citoyenne incluant support, formation et maintenance",72250000,IT Services & Consulting,développement application web,2020-10-08,24.0,0,2022-10-08,1,SYN_EASY_SRC_00018,source,none,False
SYN_EASY_TRUE_00018,easy,candidate,B0024,Nantes Métropole 024,NAME:nantes 024,développement d'une application web documentaire pour plusieurs sites,72250000,IT Services & Consulting,développement application web,2022-09-15,,1,,0,SYN_EASY_SRC_00018,true_recurrence,none,False
SYN_EASY_FALSE_00018_00,easy,candidate,B0024,Nantes Métropole 024,NAME:nantes 024,hébergement cloud et infogérance de plateformes numériques et accompagnement au déploiement,72250000,Cloud & Infrastructure,hébergement cloud,2022-08-31,,1,,0,SYN_EASY_SRC_00018,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00019,easy,source,B0068,ONIRIS 068,NAME:oniris 068,"prestations data, BI et cartographie décisionnelle",72212326,Data / BI / Cartography,data BI cartographie,2018-12-21,12.0,0,2019-12-21,1,SYN_EASY_SRC_00019,source,none,False
SYN_EASY_TRUE_00019,easy,candidate,B0068,ONIRIS 068,NAME:oniris 068,"prestations data, BI et cartographie décisionnelle et accompagnement au déploiement",72212326,Data / BI / Cartography,data BI cartographie,2019-09-29,,1,,0,SYN_EASY_SRC_00019,true_recurrence,none,False
SYN_EASY_SRC_00020,easy,source,B0305,VILLE DU MANS 305,NAME:mans 305,services de télécommunications fixes et mobiles,32000000,Telecom & Networks,télécommunications,2020-10-14,60.0,0,2025-10-14,1,SYN_EASY_SRC_00020,source,case_variation,False
SYN_EASY_TRUE_00020,easy,candidate,B0305,Ville du Mans 305,NAME:mans 305,services de télécommunications fixes et mobiles dans le cadre d'un accord-cadre,32000000,Telecom & Networks,télécommunications,2025-09-24,,1,,0,SYN_EASY_SRC_00020,true_recurrence,none,False
SYN_EASY_SRC_00021,easy,source,B0348,Département de Loire-Atlantique 348,NAME:loire atlantique 348,"prestations data, BI et cartographie décisionnelle avec prestations associées",72310000,Data / BI / Cartography,data BI cartographie,2015-07-08,36.0,0,2018-07-07,0,SYN_EASY_SRC_00021,source,none,False
SYN_EASY_SRC_00022,easy,source,B0167,Ville du Mans 167,NAME:mans 167,assistance à maîtrise d'ouvrage numérique avec prestations associées,72224000,AMOA numérique,AMOA numérique,2017-04-10,24.0,0,2019-04-10,1,SYN_EASY_SRC_00022,source,none,False
SYN_EASY_TRUE_00022,easy,candidate,B0167,Ville du Mans 167,NAME:mans 167,assistance à maîtrise d'ouvrage numérique et accompagnement au déploiement,72224000,AMOA numérique,AMOA numérique,2019-03-19,,1,,0,SYN_EASY_SRC_00022,true_recurrence,none,False
SYN_EASY_SRC_00023,easy,source,B0026,Département de Loire-Atlantique 026,NAME:loire atlantique 026,fourniture d'équipements réseau et prestations associées avec prestations associées,32000000,Telecom & Networks,équipements réseau,2015-02-15,48.0,0,2019-02-15,0,SYN_EASY_SRC_00023,source,none,False
SYN_EASY_SRC_00024,easy,source,B0264,Ville de Saint-Nazaire 264,NAME:saint nazaire 264,assistance à maîtrise d'ouvrage numérique,72224000,AMOA numérique,AMOA numérique,2020-09-10,18.0,0,2022-03-11,0,SYN_EASY_SRC_00024,source,none,False
SYN_EASY_SRC_00025,easy,source,B0076,Angers Loire Métropole 076,NAME:angers loire 076,infogérance de l'infrastructure informatique,72317000,Cloud & Infrastructure,infogérance infrastructure,2020-03-20,48.0,0,2024-03-20,1,SYN_EASY_SRC_00025,source,none,False
SYN_EASY_TRUE_00025,easy,candidate,B0076,Angers Loire Métropole 076,NAME:angers loire 076,infogérance infrastructure,72317000,Cloud & Infrastructure,infogérance infrastructure,2024-06-03,,1,,0,SYN_EASY_SRC_00025,true_recurrence,object_shortening,False
SYN_EASY_FALSE_00025_00,easy,candidate,B0338,Commune de Cholet 338,NAME:cholet 338,prestations d'audit de sécurité du système d'information,72317000,Cybersecurity,audit sécurité SI,2024-06-23,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00026,easy,source,B0000,Ville de Nantes,NAME:nantes,licences bureautiques et services associés pour les besoins des services,79512000,Digital Workplace & Collaboration,poste de travail,2016-10-15,48.0,0,2020-10-15,0,SYN_EASY_SRC_00026,source,none,True
SYN_EASY_SRC_00027,easy,source,B0053,Angers Loire Métropole 053,NAME:angers loire 053,"prestations data, BI et cartographie décisionnelle",72212326,Data / BI / Cartography,data BI cartographie,2020-12-26,12.0,0,2021-12-26,1,SYN_EASY_SRC_00027,source,none,False
SYN_EASY_TRUE_00027,easy,candidate,B0053,Angers Loire Métropole 053,NAME:angers loire 053,développement d'outils SIG et analyse de données avec prestations associées,72212326,Data / BI / Cartography,data BI cartographie,2021-12-29,,1,,0,SYN_EASY_SRC_00027,true_recurrence,none,False
SYN_EASY_FALSE_00027_00,easy,candidate,B0053,Angers Loire Métropole 053,NAME:angers loire 053,développement d'une application web de gestion pour plusieurs sites,72590000,IT Services & Consulting,développement application web,2023-02-11,,1,,0,SYN_EASY_SRC_00027,false_candidate_same_buyer,false_candidate,False
SYN_EASY_SRC_00028,easy,source,B0009,SDIS 44,NAME:sdis 44,solution collaborative et environnement de travail numérique,48218000,Digital Workplace & Collaboration,poste de travail,2016-02-10,12.0,0,2017-02-09,0,SYN_EASY_SRC_00028,source,none,False
SYN_EASY_SRC_00029,easy,source,B0282,Ville du Mans 282,NAME:mans 282,infogérance de l'infrastructure informatique,72317000,Cloud & Infrastructure,infogérance infrastructure,2019-01-16,12.0,0,2020-01-16,1,SYN_EASY_SRC_00029,source,none,False
SYN_EASY_TRUE_00029,easy,candidate,B0282,Ville du Mans 282,NAME:mans 282,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72317000,Cloud & Infrastructure,infogérance infrastructure,2020-03-09,,1,,0,SYN_EASY_SRC_00029,true_recurrence,none,False
SYN_EASY_FALSE_00029_00,easy,candidate,B0179,Vendée Eau 179,NAME:vendee eau 179,solution collaborative et environnement de travail numérique dans le cadre d'un accord-cadre,72700000,Cloud & Infrastructure,poste de travail,2020-04-24,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need,False
SYN_EASY_SRC_00030,easy,source,B0291,Université de Nantes 291,NAME:nantes 291,prestations d'audit de sécurité du système d'information pour plusieurs sites,48730000,Cybersecurity,audit sécurité SI,2021-01-15,24.0,0,2023-01-15,0,SYN_EASY_SRC_00030,source,none,False
SYN_EASY_SRC_00031,easy,source,B0302,Département de Loire-Atlantique 302,NAME:loire atlantique 302,assistance à maîtrise d'ouvrage numérique pour plusieurs sites,72224000,AMOA numérique,AMOA numérique,2018-11-07,24.0,0,2020-11-06,1,SYN_EASY_SRC_00031,source,none,False
SYN_EASY_TRUE_00031,easy,candidate,B0302,Département de Loire-Atlantique 302,NAME:loire atlantique 302,assistance à maîtrise d'ouvrage numérique pour les besoins des services,72224000,AMOA numérique,AMOA numérique,2020-11-14,,1,,0,SYN_EASY_SRC_00031,true_recurrence,none,False
SYN_EASY_FALSE_00031_00,easy,candidate,B0302,Département de Loire-Atlantique 302,NAME:loire atlantique 302,développement d'une application web documentaire et accompagnement au déploiement,72224000,IT Services & Consulting,développement application web,2020-11-24,,1,,0,SYN_EASY_SRC_00031,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00032,easy,source,B0196,Communauté de communes du Pays d'Ancenis 196,NAME:communes pays d ancenis 196,infogérance de l'infrastructure informatique pour les besoins des services,48820000,Cloud & Infrastructure,infogérance infrastructure,2017-09-22,12.0,0,2018-09-22,0,SYN_EASY_SRC_00032,source,none,False
SYN_EASY_SRC_00033,easy,source,B0153,Université de Nantes 153,NAME:nantes 153,services numériques,48450000,Software & Applications,maintenance logiciel métier,2017-01-21,48.0,0,2021-01-21,1,SYN_EASY_SRC_00033,source,none,False
SYN_EASY_TRUE_00033,easy,candidate,B0153,Université de Nantes 153,NAME:nantes 153,maintenance du logiciel métier finances avec prestations associées,72261000,Software & Applications,maintenance logiciel métier,2021-01-08,,1,,0,SYN_EASY_SRC_00033,true_recurrence,cpv_reclassification,False
SYN_EASY_FALSE_00033_00,easy,candidate,B0153,Université de Nantes 153,NAME:nantes 153,infogérance de l'infrastructure informatique et accompagnement au déploiement,48450000,Software & Applications,infogérance infrastructure,2020-12-25,,1,,0,SYN_EASY_SRC_00033,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00034,easy,source,B0246,Commune de Cholet 246,NAME:cholet 246,développement d'une application web collaborative,72220000,IT Services & Consulting,développement application web,2021-04-30,36.0,0,2024-04-29,1,SYN_EASY_SRC_00034,source,none,False
SYN_EASY_TRUE_00034,easy,candidate,B0246,Commune de Cholet 246,NAME:cholet 246,développement d'une application web collaborative,72220000,IT Services & Consulting,développement application web,2024-05-18,,1,,0,SYN_EASY_SRC_00034,true_recurrence,none,False
SYN_EASY_FALSE_00034_00,easy,candidate,B0246,Commune de Cholet 246,NAME:cholet 246,prestations informatiques,72220000,IT Services & Consulting,data BI cartographie,2024-02-27,,1,,0,SYN_EASY_SRC_00034,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00035,easy,source,B0005,Université d'Angers,NAME:d angers,hébergement cloud et infogérance de plateformes numériques avec prestations associées,72700000,Cloud & Infrastructure,hébergement cloud,2020-06-27,6.0,0,2020-12-26,1,SYN_EASY_SRC_00035,source,none,True
SYN_EASY_TRUE_00035,easy,candidate,B0005,Univ. d'Angers,NAME:univ d angers,hébergement cloud et infogérance de plateformes numériques,72700000,Cloud & Infrastructure,hébergement cloud,2020-12-03,,1,,0,SYN_EASY_SRC_00035,true_recurrence,buyer_abbreviation,True
SYN_EASY_SRC_00036,easy,source,B0050,CHU de Nantes 050,NAME:nantes 050,infogérance de l'infrastructure informatique dans le cadre d'un accord-cadre,72700000,Cloud & Infrastructure,infogérance infrastructure,2021-12-15,48.0,0,2025-12-15,1,SYN_EASY_SRC_00036,source,none,False
SYN_EASY_TRUE_00036,easy,candidate,B0050,CHU de Nantes 050,NAME:nantes 050,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72700000,Cloud & Infrastructure,infogérance infrastructure,2026-02-03,,1,,0,SYN_EASY_SRC_00036,true_recurrence,none,False
SYN_EASY_FALSE_00036_00,easy,candidate,B0050,CHU de Nantes 050,NAME:nantes 050,mission d'évaluation de la sécurité informatique avec prestations associées,72212732,Cybersecurity,audit sécurité SI,2027-09-30,,1,,0,SYN_EASY_SRC_00036,false_candidate_same_buyer,false_candidate,False
SYN_EASY_SRC_00037,easy,source,B0053,Angers Loire Métropole 053,NAME:angers loire 053,"fourniture d'équipements réseau et prestations associées incluant support, formation et maintenance",64200000,Telecom & Networks,équipements réseau,2021-11-10,36.0,0,2024-11-09,0,SYN_EASY_SRC_00037,source,none,False
SYN_EASY_FALSE_00037_00,easy,candidate,B0053,Angers Loire Métropole 053,NAME:angers loire 053,développement d'une application web de gestion,72590000,IT Services & Consulting,développement application web,2025-09-22,,1,,0,SYN_EASY_SRC_00037,false_candidate_same_buyer,false_candidate,False
SYN_EASY_SRC_00038,easy,source,B0233,Département de Loire-Atlantique 233,NAME:loire atlantique 233,services de télécommunications fixes et mobiles,64200000,Telecom & Networks,télécommunications,2016-03-30,,1,2020-03-30,0,SYN_EASY_SRC_00038,source,missing_duration,False
SYN_EASY_SRC_00039,easy,source,B0060,Centre hospitalier du Mans 060,NAME:centre hospitalier mans 060,"solution collaborative et environnement de travail numérique incluant support, formation et maintenance",48218000,Digital Workplace & Collaboration,poste de travail,2017-02-18,6.0,0,2017-08-19,0,SYN_EASY_SRC_00039,source,none,False
SYN_EASY_FALSE_00039_00,easy,candidate,B0060,Centre hospitalier du Mans 060,NAME:centre hospitalier mans 060,audits techniques et tests d'intrusion du SI pour les besoins des services,72222300,Cybersecurity,audit sécurité SI,2017-06-27,,1,,0,SYN_EASY_SRC_00039,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need,False
SYN_EASY_SRC_00040,easy,source,B0103,Ville de Saint-Nazaire 103,NAME:saint nazaire 103,solution collaborative et environnement de travail numérique avec prestations associées,72413000,Digital Workplace & Collaboration,poste de travail,2015-05-04,24.0,0,2017-05-03,1,SYN_EASY_SRC_00040,source,none,False
SYN_EASY_TRUE_00040,easy,candidate,B0103,Ville de Saint-Nazaire 103,NAME:saint nazaire 103,solution collaborative et environnement de travail numérique,72413000,Digital Workplace & Collaboration,poste de travail,2017-03-22,,1,,0,SYN_EASY_SRC_00040,true_recurrence,none,False
SYN_EASY_SRC_00041,easy,source,B0031,Département de la Vendée 031,NAME:vendee 031,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72700000,Cloud & Infrastructure,infogérance infrastructure,2019-07-10,12.0,0,2020-07-09,1,SYN_EASY_SRC_00041,source,none,False
SYN_EASY_TRUE_00041,easy,candidate,B0031,Département de la Vendée 031,NAME:vendee 031,services numériques,72700000,Cloud & Infrastructure,infogérance infrastructure,2020-07-30,,1,,0,SYN_EASY_SRC_00041,true_recurrence,object_shortening,False
SYN_EASY_SRC_00042,easy,source,B0044,SEMITAN 044,NAME:semitan 044,"prestations data, BI et cartographie décisionnelle dans le cadre d'un accord-cadre",72212326,Data / BI / Cartography,data BI cartographie,2018-01-08,36.0,0,2021-01-07,0,SYN_EASY_SRC_00042,source,none,False
SYN_EASY_FALSE_00042_00,easy,candidate,B0044,SEMITAN 044,NAME:semitan 044,prestations informatiques,72212326,Data / BI / Cartography,hébergement cloud,2020-12-29,,1,,0,SYN_EASY_SRC_00042,false_candidate_same_buyer,false_candidate|generic_short_object|near_expected_end_wrong_need|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_SRC_00043,easy,source,B0059,Syndicat mixte numérique 059,NAME:syndicat mixte numerique 059,infogérance de l'infrastructure informatique,48820000,Cloud & Infrastructure,infogérance infrastructure,2018-06-27,24.0,0,2020-06-26,1,SYN_EASY_SRC_00043,source,none,False
SYN_EASY_TRUE_00043,easy,candidate,B0059,Syndicat mixte numérique 059,NAME:syndicat mixte numerique 059,infogérance de l'infrastructure informatique et accompagnement au déploiement,72514000,Cloud & Infrastructure,infogérance infrastructure,2020-08-20,,1,,0,SYN_EASY_SRC_00043,true_recurrence,cpv_reclassification,False
SYN_EASY_SRC_00044,easy,source,B0020,Mairie de Laval,NAME:laval,solution collaborative et environnement de travail numérique pour plusieurs sites,79512000,Digital Workplace & Collaboration,poste de travail,2021-11-24,24.0,0,2023-11-24,1,SYN_EASY_SRC_00044,source,none,False
SYN_EASY_TRUE_00044,easy,candidate,B0020,Mairie de Laval,NAME:laval,solution collaborative et environnement de travail numérique pour les besoins des services,79512000,Digital Workplace & Collaboration,poste de travail,2024-01-17,,1,,0,SYN_EASY_SRC_00044,true_recurrence,none,False
SYN_EASY_FALSE_00044_00,easy,candidate,B0258,Université d'Angers 258,NAME:d angers 258,fourniture d'équipements réseau et prestations associées,32000000,Telecom & Networks,équipements réseau,2022-07-29,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate,False
SYN_EASY_SRC_00045,easy,source,B0062,Commune de Cholet 062,NAME:cholet 062,maintenance informatique,72700000,Cloud & Infrastructure,infogérance infrastructure,2015-12-04,48.0,0,2019-12-04,1,SYN_EASY_SRC_00045,source,none,False
SYN_EASY_TRUE_00045,easy,candidate,B0062,Commune de Cholet 062,NAME:cholet 062,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",72700000,Cloud & Infrastructure,infogérance infrastructure,2019-12-22,,1,,0,SYN_EASY_SRC_00045,true_recurrence,none,False
SYN_EASY_SRC_00046,easy,source,B0044,SEMITAN 044,NAME:semitan 044,hébergement cloud et infogérance de plateformes numériques pour les besoins des services,72514000,Cloud & Infrastructure,hébergement cloud,2019-05-20,48.0,0,2023-05-20,0,SYN_EASY_SRC_00046,source,none,False
SYN_EASY_SRC_00047,easy,source,B0251,SEMITAN 251,NAME:semitan 251,services de télécommunications fixes et mobiles,32500000,Telecom & Networks,télécommunications,2016-05-24,48.0,0,2020-05-24,1,SYN_EASY_SRC_00047,source,none,False
SYN_EASY_TRUE_00047,easy,candidate,B0251,SEMITAN 251,NAME:semitan 251,services de télécommunications fixes et mobiles,32500000,Telecom & Networks,télécommunications,2020-06-28,,1,,0,SYN_EASY_SRC_00047,true_recurrence,none,False
SYN_EASY_SRC_00048,easy,source,B0033,SDIS 85 033,NAME:sdis 85 033,prestations d'audit de sécurité du système d'information et accompagnement au déploiement,48730000,Cybersecurity,audit sécurité SI,2015-09-03,,1,2019-09-03,0,SYN_EASY_SRC_00048,source,missing_duration,False
SYN_EASY_SRC_00049,easy,source,B0335,Syndicat mixte numérique 335,NAME:syndicat mixte numerique 335,développement d'une application web citoyenne pour plusieurs sites,72200000,IT Services & Consulting,développement application web,2018-09-18,12.0,0,2019-09-18,0,SYN_EASY_SRC_00049,source,none,False
SYN_EASY_SRC_00050,easy,source,B0056,SDIS 85 056,NAME:sdis 85 056,services de télécommunications fixes et mobiles,32400000,Telecom & Networks,télécommunications,2015-01-31,24.0,0,2017-01-30,1,SYN_EASY_SRC_00050,source,none,False
SYN_EASY_TRUE_00050,easy,candidate,B0056,SDIS 85 056,NAME:sdis 85 056,services de télécommunications fixes et mobiles pour plusieurs sites,32400000,Telecom & Networks,télécommunications,2017-02-07,,1,,0,SYN_EASY_SRC_00050,true_recurrence,none,False
